name,rating,date,text
Heinz,5,2025-02-19,produk berkualitas packing aman dan pengiriman berlangsung cepat
Heinz,5,2025-01-20,produk berkualitas packing aman dan pengiriman berlangsung cepat
Tri,5,2024-12-21,"barangnya sih puas, yaaa dari pihak arumi proses kirimnya cepet, buat motor adv 150, bahan cnc, mudah di pasang, yang bikin lama dari kurirnya ekspedisinya"
andrias,5,2024-09-22,"Barangnya bagus  pnp di motor lexi LX ,bahannya premium dan hampir semua pakai variasi  produk ARM ( arumi)"
I***d,5,2025-05-13,"Saya pesan 3 barang kenapa yang datang 2 barang
Kalau untuk produk tau lah Arm bagus,cman ya itu pesan 3 barang yg datang 2 barang"
Harun,5,2024-05-20,"Build quality kokoh, namun finishing masih belum rapih, kaya ada beberapa bagian yg lecet2 dan kusam"
alfian,2,2024-05-20,"pelapak/admin tidak kooperatif, produk baik, pengemasan dan pengiriman aman smp tujuan, namun syg yg dkrim tidak sesuai yg dilist warna pesanan,sudah mengisi di opsi warna, konfirmasi lewat chat jg, mengisi kolom dicatatan jg. request warna silver tp yg datang ungudan ada baret n ulirnya ad sompral dkit. sekali lg trimakasih bnyak,lain kali jgn seperti ini lagi, amat mengecewakan.mau jg reguler cstmer jd mundur gara2 jni, sukses trs ARM (arumiotopart)"
Rudiyanto,5,2024-05-20,"barang bagus, belum dipasang mudah""an cocok.. trma kasih😃😁"
ecox,5,2024-05-20,mantaap sesuai pesanan expedisi bagus
Wisnu,5,2024-09-22,"sesuai pesanan keren👍
suka bange pokonya"
gihan,5,2024-08-23,Barang sesuai deskripsi dan dipacking dengan rapih. Finishing nya rapih. Ngepas ketika di pasang dan tidak bocor. Recommended buat di order ya gahes. Makasih ya min
W***n,5,2025-05-13,"Pesanan tutup oli sudah tiba dengan baik ,packing paket mantap sesuai deskripsi produk semoga berfungsi dengan baik,untuk seller terimakasih"
MAULANA,5,2024-05-20,"Pertama ragu belanja disini 
gara gara banyak yang testimoni nya  miring
tapi penasaran terus 
akhirnya nekat beli produk ARM
ternyata pelapak nya ramah, fast response, pengemasan cepat, produknya PREMIUM, packing meski pakai kardus recycle tapi masih aman
Semoga makin maju dan makin banyak varian produknya
terima kasih"
A***l,4,2024-05-20,"Finishing bisa ditingkatkan lagi, msh ada baret2, dan menurut saya warnanya agak sedikit lebih gelap bila dibandingkan dgn tutup master rem ARM dgn warna yang sama. Tapi overall bagus barangnya, bikin motor tambah keren tampilannya."
Indriawan,5,2024-08-23,respon cepat paking aman barang bagus bahan tebal cepat sampai
L***k,5,2025-05-13,Sudah sampai produknya bagus presisi halus pekerjanya. Membuat makin cakep motor gue
Iqbal,5,2024-05-20,"tutupnya PNP,cuma ada yang lecet bagian tulisan arm"
C***t,5,2024-07-24,"Original Mantap , Kualitas Bagus Kokoh Pokoknya rekomended"
S***i,5,2025-04-20,"Barang sesuai, seller respon cepat, pengiriman cepat"
Reno,5,2025-04-20,"Pesanan di proses cepat, pengiriman cepat, meskipun kurir sempet salah kasih alamat, harga terjangkau, kualitas produk ciamik, ini pembelian udah ke sekian kalinya. Recommended"
D***i,4,2024-05-20,"packing nya lama banget, tp barang bagus sesuai ekspetasi, cuma sayang aja gk masuk di scorpio masuk nya di supra x 125 atau beat, thankyou gan"
